到着駅,出発駅,7:00 - 7:09,7:10 - 7:19,7:20 - 7:29,7:30 - 7:39,7:40 - 7:49,7:50 - 7:59,8:00 - 8:09,8:10 - 8:19,8:20 - 8:29,8:30 - 8:39,8:40 - 8:49,8:50 - 8:59,9:00 - 9:09,9:10 - 9:19,9:20 - 9:29,9:30 - 9:39,9:40 - 9:49,9:50 - 9:59
宮の沢,発寒南,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発寒南,琴似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
琴似,二十四軒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
二十四軒,西28丁目,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
西28丁目,円山公園,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0
円山公園,西18丁目,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0
西18丁目,西11丁目,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0
西11丁目,大通,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0
大通,バスセンター前,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バスセンター前,菊水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菊水,東札幌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東札幌,白石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白石,南郷7丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南郷7丁目,南郷13丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南郷13丁目,南郷18丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南郷18丁目,大谷地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大谷地,ひばりが丘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ひばりが丘,新さっぽろ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
