到着駅,出発駅,7:00 - 7:09,7:10 - 7:19,7:20 - 7:29,7:30 - 7:39,7:40 - 7:49,7:50 - 7:59,8:00 - 8:09,8:10 - 8:19,8:20 - 8:29,8:30 - 8:39,8:40 - 8:49,8:50 - 8:59,9:00 - 9:09,9:10 - 9:19,9:20 - 9:29,9:30 - 9:39,9:40 - 9:49,9:50 - 9:59
麻生,北34条,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北34条,北24条,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北24条,北18条,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北18条,北12条,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北12条,さっぽろ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
さっぽろ,大通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大通,すすきの,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
すすきの,中島公園,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
中島公園,幌平橋,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
幌平橋,中の島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中の島,平岸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
平岸,南平岸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南平岸,澄川,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澄川,自衛隊前,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自衛隊前,真駒内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
