到着駅,出発駅,7:00 - 7:09,7:10 - 7:19,7:20 - 7:29,7:30 - 7:39,7:40 - 7:49,7:50 - 7:59,8:00 - 8:09,8:10 - 8:19,8:20 - 8:29,8:30 - 8:39,8:40 - 8:49,8:50 - 8:59,9:00 - 9:09,9:10 - 9:19,9:20 - 9:29,9:30 - 9:39,9:40 - 9:49,9:50 - 9:59
栄町,新道東,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新道東,元町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
元町,環状通東,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
環状通東,東区役所前,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
東区役所前,北13条東,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
北13条東,さっぽろ,0,0,0,0,0,0,1,1,2,1,0,0,1,1,0,1,0,0
さっぽろ,大通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大通,豊水すすきの,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豊水すすきの,学園前,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学園前,豊平公園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豊平公園,美園,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
美園,月寒中央,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
月寒中央,福住,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
